price,location,house_type,rooms,bathrooms,rent_duration,PROPERTY ADDRESS,ESTATE NAME,PROPERTY SIZE,CONDITION,FURNISHING,PETS,FACILITIES,SERVICE CHARGE,AGENCY FEE,LEGAL AND AGREEMENT FEE,CAUTION FEE
"₦ 450,000","Enugu, Enugu / Enugu State",Apartment,1 bedroom,2 bathrooms,per annum,new heaven extension,Good is good,600 sqm,Newly Built,Furnished,Pets Allowed,"Balcony,Chandelier,24 Hours Electricity,Dishwasher,Pop Ceiling,Tiled Floor,Wardrobe,Dining Area,Pre Paid Meter,Hot Water,Kitchen Cabinets",,,,
"₦ 300,000","Anambra, Awka",Apartment,1 bedroom,2 bathrooms,per annum,Ifite Awka,Ifite Awka,500 sqm,Newly Built,Unfurnished,No Pets,"24 Hours Electricity,Dining Area,Balcony,Kitchen Cabinets",,,,
"₦ 200,000","Ogun, Ifo",Studio Apartment,1 bedroom,1 bathroom,per annum,18 adebayo,ifedayo,600 sqm,Fairly Used,Unfurnished,No Pets,"Pre Paid Meter,Tiled Floor,Dishwasher,Kitchen Shelf,24 Hours Electricity",,,,
"₦ 1,000,000","Lagos, Ajah",Duplex,1 bedroom,2 bathrooms,per quarter,"BROWN NEW ROOM AND PALOUR SELF IN LEKKI SCHEME 2,AJAH","LEKKI SCHEME 2,ABRAHAM ADESANYA AJAH",450 sqm,Newly Built,Semi-Furnished,Pets Allowed,"Balcony,Chandelier,Dining Area,Wardrobe,Wi-Fi,Pop Ceiling,Hot Water,Kitchen Shelf,Pre Paid Meter,Dishwasher,24 Hours Electricity,Kitchen Cabinets,Tiled Floor",Yes,100000,100000,100000
"₦ 300,000",none,Apartment,1 bedroom,2 bathrooms,per quarter,Marian,smart property,15 sqm,Fairly Used,Unfurnished,No Pets,"Balcony,24 Hours Electricity,Kitchen Shelf,Dining Area,Kitchen Cabinets",,,,
"₦ 180,000",none,Apartment,1 bedroom,1 bathroom,per quarter,Arthur eze Avenue Awka.,,450 sqm,Fairly Used,Unfurnished,Pets Allowed,,,,,
"₦ 250,000","Ogun, Obafemi-Owode",Mini Flat,1 bedroom,1 bathroom,per annum,"Abule Oko Magboro, Ogun State",Harmony Estate,,Newly Built,Furnished,,"Apartment,Dishwasher,Tiled Floor,Wardrobe,Kitchen Cabinets,Balcony",,,,
"₦ 600,000",none,Block of Flats,1 bedroom,2 bathrooms,per annum,"Alakahia, Obio / Akpor LGA. Rivers State",,,,Unfurnished,,,,,,
"₦ 190,000",none,Apartment,1 bedroom,1 bathroom,per annum,Ifite Awka,Awka Anambra State,,Newly Built,Semi-Furnished,Pets Allowed,"Tiled Floor,Kitchen Cabinets,Balcony,24 Hours Electricity,Pre Paid Meter,Wardrobe",,,,
"₦ 350,000",none,Apartment,1 bedroom,1 bathroom,per annum,"Nza street , GRA enugu",,,Fairly Used,Unfurnished,,"Tiled Floor,Dishwasher,Kitchen Shelf,Pre Paid Meter",,,,
