price,location,house_type,rooms,bathrooms,rent_duration,PROPERTY ADDRESS,FURNISHING,FACILITIES,SERVICE CHARGE,AGENCY FEE,ESTATE NAME,CONDITION,LEGAL AND AGREEMENT FEE,CAUTION FEE,PETS,PROPERTY SIZE,HOUSING QUALITY,TOTAL ROOMS,PARKING SPACE,SMOKING,PARTIES,BROKER FEE
"₦ 4,500,000","Lagos, Lekki",Apartment,2 bedrooms,3 bathrooms,per quarter,lekki phase 1,Furnished,"TV,Dining Area,Pop Ceiling,Wardrobe,Kitchen Cabinets,Refrigerator,Hot Water,Tiled Floor,Apartment,24 Hours Electricity,Kitchen Shelf,Microwave,Chandelier,Balcony,Dishwasher,Air Conditioning,Pre Paid Meter",Yes,450000,,,,,,,,,,,,
"₦ 2,500,000","Lagos, Lekki, Osapa london",Block of Flats,2 bedrooms,2 bathrooms,per annum,osapa london,Semi-Furnished,"Tiled Floor,Air Conditioning,Kitchen Shelf,Pre Paid Meter,Hot Water,Pop Ceiling,Kitchen Cabinets,Wardrobe",Yes,250000,osapa london,Renovated,250000,250000,,,,,,,,
"₦ 7,000,000","Lagos, Victoria Island",Apartment,2 bedrooms,3 bathrooms,per annum,"Oju olobun street, Victoria Island",Furnished,"24 Hours Electricity,Chandelier,TV,Balcony,Pop Ceiling,Pre Paid Meter,Dining Area,Kitchen Shelf,Dishwasher,Tiled Floor,Refrigerator,Apartment,Kitchen Cabinets,Wardrobe,Hot Water,Microwave,Air Conditioning",Yes,,Oju Olobun,,,,,,,,,,,
"₦ 1,500,000","Lagos, Isolo, Ago Palace",Apartment,2 bedrooms,2 bathrooms,per annum,Ago,Unfurnished,"Hot Water,Apartment,Kitchen Cabinets,Wardrobe,24 Hours Electricity,Dining Area,Pop Ceiling,Tiled Floor,Kitchen Shelf,Balcony,Pre Paid Meter",,,,Newly Built,,,Pets Allowed,,,,,,,
"₦ 500,000",none,Apartment,2 bedrooms,3 bathrooms,per quarter,behind polytechnic Ibadan,Semi-Furnished,"Apartment,Balcony,Chandelier,Dining Area,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre Paid Meter,Tiled Floor,Wardrobe,Wi-Fi,24 Hours Electricity",Yes,,,Newly Built,,,No Pets,800 sqm,,,,,,
"₦ 450,000",none,Block of Flats,2 bedrooms,2 bathrooms,per annum,"18B, Segun Jegede street, Ilupeju- Magboro, ,Ogun stste",Furnished,"Kitchen Cabinets,Tiled Floor,Pop Ceiling,Wardrobe,Kitchen Shelf",,,,Fairly Used,,,No Pets,,,,,,,
"₦ 1,600,000",none,Apartment,2 bedrooms,3 bathrooms,per annum,FO1,Furnished,"Chandelier,Tiled Floor,Kitchen Shelf,Pop Ceiling,Kitchen Cabinets,Hot Water,Wardrobe,24 Hours Electricity,Dining Area,Pre Paid Meter,Apartment,Balcony",,,Extension 1 Estate,Newly Built,,,Pets Allowed,3500 sqm,,,,,,
"₦ 1,000,000",none,Block of Flats,2 bedrooms,3 bathrooms,per annum,F14,Furnished,"Wardrobe,Hot Water,Dining Area,24 Hours Electricity,Apartment,Kitchen Shelf,Tiled Floor,Chandelier,Pop Ceiling,Pre Paid Meter,Balcony,Kitchen Cabinets",,,,Newly Built,,,Pets Allowed,3500 sqm,,,,,,
"₦ 120,000",none,Apartment,2 bedrooms,2 bathrooms,per annum,unity street egan road iyesi otta,Semi-Furnished,"Balcony,24 Hours Electricity,Kitchen Cabinets,Tiled Floor",,,unity estate,Fairly Used,,,Pets Allowed,,,,,,,
"₦ 1,500,000","Cross River, Calabar",Maisonette,2 bedrooms,2 bathrooms,anually,Marian road,Furnished,Hot Water,,,,Fairly Used,,,No Pets,500 sqm,Standard,3,Yes,,,
"₦ 400,000","Lagos, Ibeju",Block of Flats,2 bedrooms,2 bathrooms,anually,ibeju lekki Aroromi ibeju lekki,Furnished,"Kitchen Cabinets,Hot Water,Air Conditioning,Balcony,Chandelier,Dishwasher,Dining Area,Kitchen Shelf",,3000,,Newly Built,50,50,Pets Allowed,650 sqm,,,,,,
"₦ 6,000,000","Cross River, Calabar",Apartment,2 bedrooms,3 bathrooms,per annum,federal housing estate,Unfurnished,"Balcony,Air Conditioning,Dining Area,Kitchen Shelf,Tiled Floor,Hot Water,Wardrobe,Pre Paid Meter",,,federal housing,Newly Built,,,Pets Allowed,1200 sqm,,,,,,
"₦ 600,000","Imo, Owerri",Block of Flats,2 bedrooms,3 bathrooms,per annum,Tansi by Spibath Orji flyover Owerri,Unfurnished,"24 Hours Electricity,Hot Water,Balcony,Pre Paid Meter,Dining Area,Kitchen Cabinets,Wardrobe,Pop Ceiling,Tiled Floor,Chandelier",,,Jeuidco Homes,Newly Built,,,,1000 sqm,,,,,,
"₦ 1,200,000","Lagos, Isolo, Ago Palace",Apartment,2 bedrooms,2 bathrooms,per quarter,Off Ago Palace way,Unfurnished,,,,,Newly Built,,,,600 sqm,,,,,,
"₦ 350,000","Cross River, Calabar",Apartment,2 bedrooms,1 bathroom,anually,167 goldie by mount zion,Unfurnished,,,,,Fairly Used,,,No Pets,3000 sqm,Substandard,3,Yes,Not Allowed,Not Allowed,Yes
"₦ 400,000","Cross River, Calabar",Bungalow,2 bedrooms,3 bathrooms,per annum,lemna,Unfurnished,"Balcony,Dining Area,Pre Paid Meter,Wardrobe,Tiled Floor",,,,Fairly Used,,,Pets Allowed,900 sqm,,,,,,
"₦ 625,000","Cross River, Calabar",Apartment,2 bedrooms,2 bathrooms,per annum,satellite town,Unfurnished,"Pre Paid Meter,Tiled Floor,Kitchen Cabinets,Wardrobe,Balcony",,,,Fairly Used,,,No Pets,800 sqm,,,,,,
"₦ 330,000","Cross River, Calabar",Maisonette,2 bedrooms,3 bathrooms,per annum,Tinapa road,Unfurnished,"Pop Ceiling,Pre Paid Meter,Wardrobe,Dining Area,Balcony,Tiled Floor",,,Rotimi ameachi avenue,Fairly Used,,,No Pets,700 sqm,,,,,,
"₦ 550,000","Cross River, Calabar",Bungalow,2 bedrooms,3 bathrooms,per annum,paliamentary extension,Unfurnished,"Pre Paid Meter,Tiled Floor,Balcony,Dining Area,Kitchen Cabinets,Wardrobe,Dishwasher,Pop Ceiling",,,,Newly Built,,,No Pets,450 sqm,,,,,,
"₦ 835,000","Cross River, Calabar",Maisonette,2 bedrooms,3 bathrooms,per quarter,Akaifa,Unfurnished,"Kitchen Shelf,Balcony,Hot Water,Tiled Floor,Dining Area,Pop Ceiling,Wardrobe,Kitchen Cabinets",Yes,,,Fairly Used,,,No Pets,750 sqm,,,,,,
"₦ 2,000,000","Lagos, Ikeja, Adeniyi Jones",Block of Flats,2 bedrooms,2 bathrooms,per annum,ABC bustop,Furnished,"Pop Ceiling,Kitchen Cabinets,Pre Paid Meter,Dining Area,Wardrobe",Yes,,ABC estate,Fairly Used,,,No Pets,580 sqm,,,,,,
"₦ 6,000,000","Lagos, Victoria Island",Apartment,2 bedrooms,3 bathrooms,per annum,Off Idejo Victoria Island,Furnished,"Kitchen Cabinets,Kitchen Shelf,Apartment,Pop Ceiling,Hot Water,Microwave,Dishwasher,Chandelier,Balcony,Dining Area",,,Idejo,,,,,,,,,,,
"₦ 1,500,000","Lagos, Isolo, Ago Palace",Block of Flats,2 bedrooms,3 bathrooms,per quarter,ago palace way,Furnished,"Pre Paid Meter,Dishwasher,Apartment,Kitchen Shelf,Pop Ceiling,Hot Water,Chandelier,Tiled Floor,Kitchen Cabinets,24 Hours Electricity,Wardrobe,Balcony,Dining Area",,,star time estate,Newly Built,,,Pets Allowed,650 sqm,,,,,,
"₦ 1,500,000","Lagos, Amuwo-Odofin",Block of Flats,2 bedrooms,3 bathrooms,per annum,start time,Semi-Furnished,"24 Hours Electricity,Pop Ceiling,Kitchen Cabinets,Wardrobe,Apartment,Hot Water,Dining Area,Dishwasher,Kitchen Shelf,Chandelier,Tiled Floor,Balcony",,,Startime,Newly Built,,,,,,,,,,
"₦ 700,000","Lagos, Agboyi/Ketu",Apartment,2 bedrooms,3 bathrooms,per annum,Alapere Ketu Lagos,Furnished,"Hot Water,Kitchen Shelf,Tiled Floor,Balcony,24 Hours Electricity,Wardrobe,Pre Paid Meter,Apartment,Kitchen Cabinets",,,,Newly Built,,,,700 sqm,,,,,,
"₦ 800,000","Oyo, Oluyole",Block of Flats,2 bedrooms,3 bathrooms,per annum,Alimi Street,Furnished,"Balcony,Air Conditioning,Pre Paid Meter,Kitchen Cabinets,Dining Area,24 Hours Electricity,Chandelier,Tiled Floor,Wardrobe,Dishwasher,Hot Water,Pop Ceiling,Kitchen Shelf",,,Peace Estate,Newly Built,,,No Pets,,,,,,,
"₦ 690,000","Cross River, Calabar",Bungalow,2 bedrooms,3 bathrooms,per annum,ikot ansa,Unfurnished,"Microwave,Pre Paid Meter,Kitchen Shelf,Balcony,Dining Area,Wardrobe,Tiled Floor",,,,Newly Built,,,No Pets,800 sqm,,,,,,
"₦ 1,200,000","Lagos, Ibeju, Badore",Apartment,2 bedrooms,3 bathrooms,per annum,badore,Semi-Furnished,"Balcony,Dining Area,Kitchen Shelf,Wardrobe,Pop Ceiling,Pre Paid Meter,Tiled Floor,Chandelier,Kitchen Cabinets,Dishwasher,Hot Water",,,seaside estate,Newly Built,,,Pets Allowed,,,,,,,
"₦ 1,000,000","Rivers, Obio-Akpor",Block of Flats,2 bedrooms,3 bathrooms,per annum,eliozu portharcourt,Semi-Furnished,"Balcony,24 Hours Electricity,Pre Paid Meter,Wardrobe,Tiled Floor,Pop Ceiling,Kitchen Cabinets,Hot Water,Chandelier,Dining Area,Kitchen Shelf",,10,shell cooperative Estate area,Newly Built,5,50,Pets Allowed,896 sqm,,,,,,
"₦ 500,000",none,Block of Flats,2 bedrooms,3 bathrooms,per quarter,"Y JUNCTION okpuno awka,",Furnished,"Wardrobe,Dining Area,Kitchen Cabinets,24 Hours Electricity,Pre Paid Meter,Kitchen Shelf,Pop Ceiling,Tiled Floor,Balcony,Dishwasher",,,,Newly Built,,,,,,,,,,
"₦ 1,000,000",none,Block of Flats,2 bedrooms,3 bathrooms,per quarter,ifite by book foundation. Awka,Unfurnished,"Pop Ceiling,Balcony,Wi-Fi,24 Hours Electricity,Pre Paid Meter,Wardrobe,Dining Area,Tiled Floor,Kitchen Cabinets",,,ifite Awka,Newly Built,,,,450 sqm,,,,,,
"₦ 350,000",none,Apartment,2 bedrooms,3 bathrooms,per annum,Nibo,Unfurnished,"Dining Area,24 Hours Electricity,Wi-Fi,Wardrobe,Balcony,Pre Paid Meter,Tiled Floor",,50000,,Newly Built,100000,,No Pets,450 sqm,,,,,,
"₦ 750,000","Lagos, Ajah, Ado / Ajah",Block of Flats,2 bedrooms,3 bathrooms,per annum,Okeira Bridge Bus Stop Along Addo Road,Unfurnished,"Kitchen Cabinets,Balcony,Wardrobe,Pre Paid Meter,Tiled Floor,Dining Area",Yes,75000,"Good Home Estate, Okeira Bridge",Renovated,75000,75000,No Pets,650 sqm,,,,,,
"₦ 1,400,000","Lagos, Isolo, Ago Palace",Apartment,2 bedrooms,2 bathrooms,per annum,Startimes,Unfurnished,"24 Hours Electricity,Dining Area,Balcony,Kitchen Shelf,Kitchen Cabinets,Pop Ceiling,Pre Paid Meter,Apartment,Hot Water,Wardrobe,Tiled Floor",,,Startimes,Newly Built,,,Pets Allowed,,,,,,,
"₦ 500,000",none,Apartment,2 bedrooms,3 bathrooms,per annum,rumudara,Furnished,"24 Hours Electricity,Balcony,Dining Area,Dishwasher,Hot Water,Pop Ceiling,Pre Paid Meter,Tiled Floor,Wardrobe,Kitchen Cabinets",,,,Renovated,,,,,,,,,,
"₦ 350,000",none,Apartment,2 bedrooms,2 bathrooms,per annum,umubelle Awka.,Unfurnished,"Pre Paid Meter,Dining Area,Wardrobe,Tiled Floor,Dishwasher,24 Hours Electricity,Balcony",,,umubelle axis,Newly Built,,,Pets Allowed,500 sqm,,,,,,
"₦ 1,500,000","Rivers, Obio-Akpor",Duplex,2 bedrooms,3 bathrooms,per annum,off eliozu portharcourt,Semi-Furnished,"Wardrobe,Pre Paid Meter,24 Hours Electricity,Hot Water,Dining Area,Kitchen Cabinets,Kitchen Shelf,Tiled Floor,Balcony,Pop Ceiling,Chandelier",,10,shell cooperative Estate area,Newly Built,5,50,Pets Allowed,968 sqm,,,,,,
"₦ 800,000","Anambra, Awka",Apartment,2 bedrooms,3 bathrooms,per annum,Okpuno Awka,Unfurnished,"Apartment,Balcony,24 Hours Electricity,Pre Paid Meter,Pop Ceiling,Tiled Floor,Wi-Fi,Wardrobe,Hot Water,Kitchen Cabinets,Dining Area",Yes,100000,Okpuno Awka,Newly Built,,70000,Pets Allowed,500 sqm,,,,,,
"₦ 400,000",none,Block of Flats,2 bedrooms,3 bathrooms,per annum,"12, Rumuoji",Semi-Furnished,,,,Eneka,Newly Built,,,,,,,,,,
"₦ 700,000","Rivers, Obio-Akpor",Apartment,2 bedrooms,2 bathrooms,per annum,Ada George Road Axis,Semi-Furnished,"Pop Ceiling,Tiled Floor,Kitchen Cabinets,Balcony,Wardrobe,Dining Area",,,,Newly Built,,50000,,,,,,,,
"₦ 1,200,000","Lagos, Isolo, Ago Palace",Apartment,2 bedrooms,2 bathrooms,per annum,Grandmate,Unfurnished,"24 Hours Electricity,Tiled Floor,Kitchen Cabinets,Pre Paid Meter,Dining Area,Hot Water,Balcony,Pop Ceiling,Apartment,Kitchen Shelf,Wardrobe",,,Grandmate,Newly Built,,,Pets Allowed,,,,,,,
"₦ 1,300,000","Lagos, Isolo, Ago Palace",Apartment,2 bedrooms,2 bathrooms,per annum,Greenfield,Unfurnished,"Tiled Floor,Pop Ceiling,Hot Water,Balcony,Dining Area,Pre Paid Meter,Kitchen Shelf,Kitchen Cabinets,Wardrobe,Chandelier,24 Hours Electricity,Apartment",,,,Newly Built,,,Pets Allowed,,,,,,,
"₦ 1,500,000","Lagos, Ajah",Block of Flats,2 bedrooms,3 bathrooms,per annum,"After Blenco Supermarket, Sangotedo axis, Ajah, Lekki.",Unfurnished,,,,,,,,,,,,,,,
"₦ 2,000,000","Lagos, Ajah, Sangotedo",Apartment,2 bedrooms,2 bathrooms,per annum,Olonkola,Unfurnished,,,,Avira Estate,Newly Built,,,,,,,,,,
"₦ 950,000","Lagos, Ajah, Ado / Ajah",Block of Flats,2 bedrooms,3 bathrooms,per annum,"Remlek Badore Road, Ajah",Unfurnished,"Pop Ceiling,Wardrobe,Kitchen Cabinets,Dining Area,Hot Water,Tiled Floor,Balcony",Yes,95000,Royal PalmWill Estate,Newly Built,95000,95000,No Pets,840 sqm,,,,,,
"₦ 1,000,000","Nasarawa, Karu-Nasarawa",Apartment,2 bedrooms,3 bathrooms,per annum,City college by mtn mask Abacha road extension,Semi-Furnished,"24 Hours Electricity,Apartment,Balcony,Chandelier,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre Paid Meter,Tiled Floor,Wardrobe",Yes,10,Mtn mask off city college,Newly Built,5,,No Pets,1000 sqm,,,,,,
"₦ 1,000,000","Lagos, Agboyi/Ketu",Block of Flats,2 bedrooms,2 bathrooms,per annum,Ketu,Unfurnished,"Hot Water,Kitchen Shelf,Apartment,Dining Area,24 Hours Electricity,Kitchen Cabinets,Wardrobe,Balcony,Tiled Floor,Pop Ceiling",,,,Newly Built,,,Pets Allowed,,,,,,,
"₦ 550,000","Anambra, Awka",Apartment,2 bedrooms,3 bathrooms,per annum,Aroma,Unfurnished,"Pre Paid Meter,Tiled Floor,Wardrobe,Dining Area,Pop Ceiling,Balcony,Wi-Fi,24 Hours Electricity,Apartment",Yes,100000,Aroma,Newly Built,50000,,Pets Allowed,500 sqm,,,,,,
"₦ 1,300,000","Lagos, Agboyi/Ketu",Apartment,2 bedrooms,2 bathrooms,per annum,Alapere,Unfurnished,"Dining Area,Pop Ceiling,Kitchen Shelf,Chandelier,Hot Water,Tiled Floor,Apartment,Kitchen Cabinets,Wardrobe,Balcony,24 Hours Electricity",,,,Newly Built,,,Pets Allowed,,,,,,,
"₦ 550,000","Lagos, Ipaja",Block of Flats,2 bedrooms,2 bathrooms,per annum,Ayobo,Furnished,"Balcony,Wardrobe,Kitchen Cabinets,Pop Ceiling,Chandelier,Dining Area,Apartment,Kitchen Shelf,Tiled Floor,Pre Paid Meter,Hot Water,Dishwasher,24 Hours Electricity",,,Abiola farm Estate,Newly Built,,,No Pets,600 sqm,,,,,,
"₦ 1,500,000",none,Apartment,2 bedrooms,3 bathrooms,per quarter,odili road,Furnished,"Hot Water,Wardrobe,Balcony,Microwave,Dishwasher,Chandelier,TV,Dining Area,Refrigerator,Air Conditioning,Kitchen Shelf,24 Hours Electricity,Pop Ceiling,Tiled Floor,Kitchen Cabinets,Pre Paid Meter",Yes,,,,,,,,,,,,,
"₦ 350,000",none,Block of Flats,2 bedrooms,1 bathroom,per annum,Rumuoji,Unfurnished,"Kitchen Cabinets,Hot Water,Balcony,Tiled Floor,Dining Area,Kitchen Shelf,Wardrobe",,,Eneka,Newly Built,,,,,,,,,,
"₦ 1,000,000","Lagos, Kosofe, Ketu-Ikosi",Apartment,2 bedrooms,3 bathrooms,per annum,Ikosi-Ketu,Furnished,Pop Ceiling,,,Ikosi-Ketu,Newly Built,,,No Pets,500 sqm,,,,,,
