price,location,house_type,rooms,bathrooms,rent_duration,PROPERTY ADDRESS,ESTATE NAME,CONDITION,FURNISHING,PETS,AGENCY FEE,LEGAL AND AGREEMENT FEE,CAUTION FEE,PROPERTY SIZE,FACILITIES
"₦ 500,000","Rivers, Obio-Akpor",Block of Flats,2 bedrooms,3 bathrooms,per annum,Freedom Estate Federal light Rukpokwu,Freedom Estate Federal light,Newly Built,Furnished,No Pets,50000,25000,50000,,
"₦ 1,000,000",none,Duplex,2 bedrooms,3 bathrooms,per annum,off SARS road/ Mandela estate ph Rivers State,off SARS road/ Mandela estate ph Rivers State,Newly Built,Furnished,Pets Allowed,,,,12 sqm,"24 Hours Electricity,Dining Area,Pre Paid Meter,Chandelier,Pop Ceiling,Tiled Floor,Microwave,Refrigerator,Air Conditioning,Balcony,Dishwasher,TV,Wi-Fi,Wardrobe,Hot Water,Kitchen Cabinets,Kitchen Shelf"
"₦ 800,000","Ogun, Obafemi-Owode",Block of Flats,2 bedrooms,3 bathrooms,per quarter,Arepo,praise,Newly Built,Furnished,,,,,,
"₦ 1,500,000","Lagos, Isolo, Ago Palace",Apartment,2 bedrooms,2 bathrooms,per annum,Ago,,Newly Built,Unfurnished,Pets Allowed,,,,,"Kitchen Shelf,24 Hours Electricity,Tiled Floor,Kitchen Cabinets,Pop Ceiling,Hot Water,Wardrobe,Dining Area,Chandelier,Apartment,Pre Paid Meter,Balcony"
"₦ 1,200,000","Rivers, Port-Harcourt",Duplex,2 bedrooms,3 bathrooms,per annum,Woji By Circular Road,Circular Road Woji by Peter Odili Ext,Newly Built,Unfurnished,,,,,,
"₦ 1,500,000","Rivers, Port-Harcourt",Block of Flats,2 bedrooms,3 bathrooms,per annum,Stadium Road,Stadium Road PH,Newly Built,Unfurnished,,,,,,
"₦ 300,000","Enugu, Enugu / Enugu State",Block of Flats,2 bedrooms,3 bathrooms,per annum,2 bedroom flat all ensuite at L G A 🌟,After L G A,Newly Built,Furnished,No Pets,,,,500 sqm,"Wardrobe,Balcony,Dishwasher,Hot Water,Kitchen Cabinets,Dining Area,Tiled Floor,24 Hours Electricity,Pre Paid Meter"
"₦ 800,000","Anambra, Awka",Apartment,2 bedrooms,3 bathrooms,per annum,OKPUNO AWKA,OKPUNO AWKA,Newly Built,Furnished,No Pets,,,,250 sqm,"Dishwasher,Apartment,Wardrobe,Wi-Fi,24 Hours Electricity,Hot Water,Air Conditioning,Chandelier,Tiled Floor,Kitchen Shelf,Pop Ceiling,Pre Paid Meter,Kitchen Cabinets,Balcony,Dining Area"
"₦ 400,000","Anambra, Awka",Apartment,2 bedrooms,2 bathrooms,per quarter,nkwele awka,nkwele awka,Fairly Used,Unfurnished,No Pets,,,,500 sqm,"Balcony,Kitchen Cabinets,Dining Area,24 Hours Electricity,Kitchen Shelf,Chandelier"
"₦ 1,000,000","Rivers, Port-Harcourt",Block of Flats,2 bedrooms,3 bathrooms,per annum,"Odili Road, portharcourt",royal Avenue Estate,Newly Built,Furnished,Pets Allowed,10,5,50,456 sqm,"24 Hours Electricity,Pre Paid Meter,Kitchen Cabinets,Balcony,Tiled Floor,Wardrobe,Kitchen Shelf,Pop Ceiling,Hot Water,Chandelier,Dining Area"
