price,location,house_type,rooms,bathrooms,rent_duration,PROPERTY ADDRESS,ESTATE NAME,CONDITION,FURNISHING,FACILITIES,SERVICE CHARGE,AGENCY FEE,LEGAL AND AGREEMENT FEE,CAUTION FEE,PETS,PROPERTY SIZE
"₦ 2,500,000","Lagos, Lekki, Osapa london",Block of Flats,2 bedrooms,2 bathrooms,per annum,osapa london,osapa london,Renovated,Semi-Furnished,"Tiled Floor,Air Conditioning,Kitchen Shelf,Pre Paid Meter,Hot Water,Pop Ceiling,Kitchen Cabinets,Wardrobe",Yes,250000,250000,250000,,
"₦ 1,500,000","Lagos, Ajah, Olokonla",Block of Flats,2 bedrooms,3 bathrooms,per annum,"Estate around Olokonla, after LBS, Ajah.",,,Unfurnished,,,,,,,
"₦ 1,500,000","Lagos, Isolo, Ago Palace",Apartment,2 bedrooms,2 bathrooms,per annum,Ago,,Newly Built,Unfurnished,"Kitchen Shelf,24 Hours Electricity,Tiled Floor,Kitchen Cabinets,Pop Ceiling,Hot Water,Wardrobe,Dining Area,Chandelier,Apartment,Pre Paid Meter,Balcony",,,,,Pets Allowed,
"₦ 1,400,000","Lagos, Isolo, Ago Palace",Apartment,2 bedrooms,2 bathrooms,per annum,Startimes,Startimes,Newly Built,Unfurnished,"24 Hours Electricity,Dining Area,Balcony,Kitchen Shelf,Kitchen Cabinets,Pop Ceiling,Pre Paid Meter,Apartment,Hot Water,Wardrobe,Tiled Floor",,,,,Pets Allowed,
"₦ 2,500,000","Lagos, Lekki, Osapa london",Block of Flats,2 bedrooms,2 bathrooms,per annum,osapa london,osapa london,,Unfurnished,,,,,,,
"₦ 600,000","Ogun, Obafemi-Owode",Apartment,2 bedrooms,3 bathrooms,per quarter,arepo,praise hill estate,Fairly Used,Semi-Furnished,,,,,,,
"₦ 650,000","Rivers, Obio-Akpor",Block of Flats,2 bedrooms,3 bathrooms,per annum,SARS road,Mandela Estate Federal light,Newly Built,Furnished,,Yes,60000,35000,50000,No Pets,
"₦ 750,000",none,Block of Flats,2 bedrooms,3 bathrooms,per annum,NTA axis,off NTA road o roaddarawelre,Newly Built,Furnished,"Kitchen Shelf,Wi-Fi,Air Conditioning,Dining Area,Chandelier,Refrigerator,24 Hours Electricity,Dishwasher,Kitchen Cabinets,Tiled Floor,Pop Ceiling,Hot Water,TV,Pre Paid Meter,Balcony,Microwave,Wardrobe",,,,,No Pets,13 sqm
"₦ 1,500,000","Rivers, Port-Harcourt",Duplex,2 bedrooms,3 bathrooms,anually,Peter Odili,,Newly Built,Unfurnished,,,,,,,
"₦ 600,000","Rivers, Obio-Akpor",Block of Flats,2 bedrooms,3 bathrooms,per quarter,SARS Junction Happy bite's,Rumuehiewor Estate Rukpokwu,Fairly Used,Furnished,,,,,,No Pets,
"₦ 350,000","Enugu, Enugu / Enugu State",Apartment,2 bedrooms,3 bathrooms,per annum,Nice 2 bedroom flat all ensuite with running water inside it,Close to Speaker house,Newly Built,Furnished,"Tiled Floor,Dining Area,Pop Ceiling,Wardrobe,Balcony,Dishwasher,Hot Water,24 Hours Electricity,Pre Paid Meter",,,,,No Pets,500 sqm
"₦ 800,000","Anambra, Awka",Apartment,2 bedrooms,3 bathrooms,per annum,OKPUNO AWKA,OKPUNO AWKA,Newly Built,Furnished,"Dishwasher,Apartment,Wardrobe,Wi-Fi,24 Hours Electricity,Hot Water,Air Conditioning,Chandelier,Tiled Floor,Kitchen Shelf,Pop Ceiling,Pre Paid Meter,Kitchen Cabinets,Balcony,Dining Area",,,,,No Pets,250 sqm
"₦ 800,000","Oyo, Oluyole",Block of Flats,2 bedrooms,3 bathrooms,per annum,Alimi Street,Peace Estate,Newly Built,Furnished,"Balcony,Air Conditioning,Pre Paid Meter,Kitchen Cabinets,Dining Area,24 Hours Electricity,Chandelier,Tiled Floor,Wardrobe,Dishwasher,Hot Water,Pop Ceiling,Kitchen Shelf",,,,,No Pets,
"₦ 30,000,000","Lagos, Victoria Island",Block of Flats,2 bedrooms,2 bathrooms,per annum,Victoria Island,Victoria Island,Fairly Used,Furnished,"Air Conditioning,24 Hours Electricity,Balcony,Chandelier,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Refrigerator,TV,Tiled Floor,Wardrobe,Wi-Fi",,,,,,
"₦ 400,000","Rivers, Port-Harcourt",Block of Flats,2 bedrooms,3 bathrooms,per quarter,Pepperoni Eneka Road,Diamond Estate,Fairly Used,Furnished,,,,,,,
"₦ 500,000",none,Block of Flats,2 bedrooms,3 bathrooms,per annum,"Rukpokwu/Eneka road, Eneka",Neighbourhood,Fairly Used,Unfurnished,"Pre Paid Meter,Tiled Floor,Kitchen Cabinets,Balcony,Dining Area,Kitchen Shelf,Pop Ceiling,Wardrobe,24 Hours Electricity,Hot Water",,,,,,
"₦ 700,000","Rivers, Obio-Akpor",Block of Flats,2 bedrooms,3 bathrooms,per annum,Mandela Estate Federal light SARS road,Mandela Estate Federal light SARS road,Newly Built,Furnished,,,,,,No Pets,
"₦ 300,000",none,Apartment,2 bedrooms,1 bathroom,per annum,Nkwelle Awka,,Newly Built,Unfurnished,"Wi-Fi,Balcony,24 Hours Electricity,Pop Ceiling,Tiled Floor",,30000,50000,,No Pets,450 sqm
"₦ 700,000",none,Apartment,2 bedrooms,3 bathrooms,per annum,NTA Road by Obiri Ikwerre junction.,,Newly Built,Semi-Furnished,"Dining Area,Balcony,Kitchen Cabinets,Kitchen Shelf,24 Hours Electricity,Hot Water,Tiled Floor,Dishwasher,Pop Ceiling,Wardrobe",,,,,,
"₦ 1,500,000","Rivers, Port-Harcourt",Duplex,2 bedrooms,3 bathrooms,per annum,Shell Cooperative Eliozu,Shell Cooperative Estate Eliozu,Newly Built,Unfurnished,,,,,,,
