price,location,house_type,rooms,bathrooms,rent_duration,PROPERTY ADDRESS,ESTATE NAME,CONDITION,FURNISHING,FACILITIES,SERVICE CHARGE,PROPERTY SIZE,PETS,AGENCY FEE,LEGAL AND AGREEMENT FEE,CAUTION FEE,NEW PROPERTY,TOTAL ROOMS,PARKING SPACE,FURNISHED,SMOKING,PARTIES,BROKER FEE,HOUSING QUALITY
"₦ 10,000,000","Lagos, Victoria Island",Apartment,4 bedrooms,3 bathrooms,per annum,off Adeola Odeoku street,adeola odeoku,Newly Built,Semi-Furnished,"Wardrobe,Tiled Floor,Pre Paid Meter,Pop Ceiling,Kitchen Shelf,Kitchen Cabinets,Hot Water,Chandelier,Balcony",Yes,,,,,,,,,,,,,
"₦ 8,500,000","Lagos, Ikoyi",Duplex,4 bedrooms,4 bathrooms,per annum,Ikoyi,,Newly Built,Unfurnished,,Yes,,,,,,,,,,,,,
"₦ 6,000,000","Lagos, Lekki, Chevron",Duplex,4 bedrooms,4 bathrooms,per quarter,No 4 Tulip Haven Estate Chevron lekki,Tulip Haven,Newly Built,Furnished,"Wardrobe,Tiled Floor,Pre Paid Meter,Pop Ceiling,Microwave,Kitchen Shelf,Kitchen Cabinets,Hot Water,Dishwasher,Dining Area,Chandelier,Balcony,Air Conditioning",,450 sqm,Pets Allowed,,,,,,,,,,,
"₦ 20,000,000","Lagos, Ikoyi, Ikoyi S.W",Townhouse/Terrace,4 bedrooms,5 bathrooms,per annum,Victoria Island,Victoria island,Newly Built,Unfurnished,,,,,,,,,,,,,,,
"₦ 1,500,000","Oyo, Oluyole",Duplex,4 bedrooms,5 bathrooms,per annum,Gwani Street,Unity Estate,Newly Built,Furnished,"Pop Ceiling,Kitchen Shelf,Balcony,Refrigerator,Wardrobe,Kitchen Cabinets,Dining Area,Hot Water,Pre Paid Meter,Tiled Floor,Dishwasher,Chandelier,Microwave",,,Pets Allowed,,,,,,,,,,,
"₦ 1,500,000","Oyo, Oluyole",Duplex,4 bedrooms,5 bathrooms,per annum,Gwani Street,Lagelu Estate,Newly Built,Furnished,"Tiled Floor,Pre Paid Meter,Refrigerator,Kitchen Cabinets,Dishwasher,Balcony,Pop Ceiling,Kitchen Shelf,Chandelier,24 Hours Electricity,Dining Area,Hot Water",,,Pets Allowed,,,,,,,,,,,
"₦ 1,100,000",none,Bungalow,4 bedrooms,4 bathrooms,per annum,new heaven extension,new heaven extension,Newly Built,Furnished,"Microwave,Balcony,24 Hours Electricity,Chandelier,Dining Area",Yes,600 sqm,Pets Allowed,200000.0,100000.0,100000.0,,,,,,,,
"₦ 800,000",none,Bungalow,4 bedrooms,3 bathrooms,per annum,rotimi abiru street,royal creek estate,Renovated,Furnished,"Pop Ceiling,Tiled Floor",,,Pets Allowed,,,,,,,,,,,
"₦ 4,500,000","Abuja, Asokoro",Duplex,4 bedrooms,4 bathrooms,per annum,asokoro,,Newly Built,Furnished,,,,,,,,,,,,,,,
"₦ 3,000,000","Lagos, Magodo",Duplex,4 bedrooms,4 bathrooms,per annum,magodo phase 1,magodo phase 1,Renovated,Furnished,"Pre Paid Meter,Tiled Floor,Wardrobe,Pop Ceiling,24 Hours Electricity,Dining Area,Balcony,Hot Water,Dishwasher,Kitchen Cabinets",,,Pets Allowed,,,,,,,,,,,
"₦ 4,500,000","Lagos, Lekki, Lekki Phase 1",Duplex,4 bedrooms,4 bathrooms,per annum,osapa london,osapa london,Renovated,Unfurnished,"Kitchen Shelf,Tiled Floor,Pop Ceiling,Kitchen Cabinets,Chandelier,Pre Paid Meter,Microwave,Dining Area,Wardrobe,Hot Water,Dishwasher,Balcony",,350 sqm,Pets Allowed,,,,,,,,,,,
"₦ 3,000,000",none,House,4 bedrooms,4 bathrooms,per annum,orchid road,Victoria crest estate,Fairly Used,Unfurnished,"Hot Water,Pre Paid Meter,Wardrobe,Balcony,Dining Area,Pop Ceiling,24 Hours Electricity,Tiled Floor",,,No Pets,,,,,,,,,,,
"₦ 4,000,000","Lagos, Apapa, Apapa G.R.A",Townhouse/Terrace,4 bedrooms,4 bathrooms,per annum,"No 2b Rycroft Street, Apapa Gra",,Newly Built,Furnished,"Chandelier,Wardrobe,Microwave,Wi-Fi,Dishwasher,Air Conditioning,Dining Area,Tiled Floor,Kitchen Shelf,Pre Paid Meter,24 Hours Electricity,Balcony,Pop Ceiling,Kitchen Cabinets,Apartment,Hot Water",,,,,,,,,,,,,,
"₦ 9,000,000","Lagos, Lekki, Lekki Expressway",Duplex,4 bedrooms,4 bathrooms,per annum,jose Maria estate road lekki phase1,Jose Maria lekki phase1,Newly Built,Furnished,"Microwave,Balcony,Dining Area,Pre Paid Meter,Air Conditioning,Wi-Fi,Apartment,Chandelier,24 Hours Electricity,Hot Water,Pop Ceiling,Kitchen Cabinets,Tiled Floor,Refrigerator,Kitchen Shelf,Dishwasher,TV,Wardrobe",Yes,,,,,,,,,,,,,
"₦ 19,000,000","Lagos, Ikoyi, Banana Island",Townhouse/Terrace,4 bedrooms,4 bathrooms,per annum,Banana Island,With Gym,,Semi-Furnished,,,,,,,,,,,,,,,
"₦ 6,000,000","Lagos, Lekki, Lekki Phase 1",Duplex,4 bedrooms,4 bathrooms,per annum,osapa london,osapa london,Newly Built,Unfurnished,"Dining Area,Tiled Floor,Wardrobe,Kitchen Shelf,Microwave,Pop Ceiling,Chandelier,Balcony,Pre Paid Meter,Dishwasher,Hot Water,Kitchen Cabinets",,350 sqm,Pets Allowed,,,,,,,,,,,
"₦ 2,500,000",none,Duplex,4 bedrooms,5 bathrooms,per annum,25 Omega clinic Ada George,Omega clinic Ada George,Fairly Used,Unfurnished,"Hot Water,Kitchen Cabinets,24 Hours Electricity,Dishwasher,Chandelier,Balcony,Pre Paid Meter,Tiled Floor,Kitchen Shelf,Pop Ceiling,Wardrobe,Dining Area",,,Pets Allowed,,,,,,,,,,,
"₦ 4,000,000",none,Duplex,4 bedrooms,5 bathrooms,per annum,73 Radio estate Nta road Port Harcourt,Radio estate,Newly Built,Unfurnished,"Kitchen Shelf,Pre Paid Meter,24 Hours Electricity,Pop Ceiling,Dishwasher,Hot Water,Tiled Floor,Kitchen Cabinets,Wardrobe,Dining Area",Yes,,Pets Allowed,400000.0,200000.0,,,,,,,,,
