price,location,house_type,rooms,bathrooms,rent_duration,NEW PROPERTY,TOTAL ROOMS,FURNISHING,PARKING SPACE,PROPERTY SIZE,PETS,SMOKING,PARTIES,BROKER FEE,PROPERTY ADDRESS,CONDITION,HOUSING QUALITY,FACILITIES,AGENCY FEE,LEGAL AND AGREEMENT FEE,ESTATE NAME,CAUTION FEE
"₦ 2,500,000","Imo, Owerri",Duplex,5 bedrooms,5 bathrooms,anually,Yes,6,Semi-Furnished,Yes,700 sqm,Pets Allowed,Allowed,Allowed,No,,,,,,,,
"₦ 1,500,000","Imo, Owerri",Duplex,5 bedrooms,5 bathrooms,anually,,6,Semi-Furnished,Yes,2500 sqm,Pets Allowed,Allowed,Allowed,No,Located within Concord Axis,Fairly Used,Standard,,,,,
"₦ 11,000,000","Abuja, Asokoro",Duplex,5 bedrooms,5 bathrooms,per annum,,,Semi-Furnished,,,,,,,"21A Justice Sowemimo Stree, Asokoro, Abuja.",Old,,,,,,
"₦ 3,500,000","Abuja, Gwarinpa",Duplex,5 bedrooms,5 bathrooms,per annum,,,Unfurnished,,800 sqm,Pets Allowed,,,,7th avenue in Gwarinpa,Fairly Used,,"Balcony,Dining Area,Hot Water,Kitchen Cabinets,Pop Ceiling,Pre Paid Meter,Tiled Floor,Wardrobe",,,,
"₦ 10,000,000","Abuja, Maitama",Duplex,10 bedrooms,5 bathrooms,per annum,,,Unfurnished,,1000 sqm,No Pets,,,,maitama,Fairly Used,,,10,5,,
"₦ 20,000,000","Abuja, Maitama",Duplex,5 bedrooms,5 bathrooms,per annum,,,Semi-Furnished,,,,,,,maitama,Newly Built,,"Chandelier,Air Conditioning,Dishwasher,Kitchen Shelf,Pop Ceiling,Kitchen Cabinets,Hot Water,Balcony,Dining Area,Refrigerator,Microwave,Wardrobe,Tiled Floor,Pre Paid Meter",125000,1250000,,
"₦ 10,000,000","Abuja, Maitama",Duplex,5 bedrooms,5 bathrooms,anually,,5,Unfurnished,Yes,,,,,Yes,Off Gana Street,Fairly Used,Standard,,,,,
"₦ 5,500,000","Abuja, Lokogoma",Duplex,7 bedrooms,5 bathrooms,per annum,,,Furnished,,900 sqm,Pets Allowed,,,,"Lokogoma District, Abuja",Newly Built,,"Balcony,Dining Area,Pop Ceiling,Hot Water,Wardrobe,Tiled Floor,Chandelier,Kitchen Shelf,Pre Paid Meter,Kitchen Cabinets",500000,250000,SuperView Estate,250000
"₦ 9,000,000","Abuja, Gwarinpa",Duplex,5 bedrooms,5 bathrooms,anually,,,Semi-Furnished,,100 sqm,Pets Allowed,,,,6th avenue Gwarinpa Estate,Newly Built,,24 Hours Electricity,50,50,Gwarinpa Estate,0
"₦ 7,000,000","Abuja, Gwarinpa",Duplex,5 bedrooms,5 bathrooms,anually,,,Unfurnished,,100 sqm,Pets Allowed,,,,Gwarinpa Estate,Fairly Used,,24 Hours Electricity,50,50,Gwarinpa Estate,0
