price,location,house_type,rooms,bathrooms,rent_duration,PROPERTY ADDRESS,ESTATE NAME,FURNISHING,TOTAL ROOMS,PARKING SPACE,PROPERTY SIZE,CONDITION,PETS,FACILITIES,AGENCY FEE,LEGAL AND AGREEMENT FEE,CAUTION FEE,SERVICE CHARGE,NEW PROPERTY,BROKER FEE,FURNISHED,SMOKING,PARTIES,HOUSING QUALITY
"₦ 45,000,000","Lagos, Ikoyi, Banana Island",Duplex,5 bedrooms,5 bathrooms,per annum,Ikoyi,ALL 3 units TERRACES,Semi-Furnished,,,,,,,,,,,,,,,,
"₦ 8,500,000","Lagos, Victoria Island",House,5 bedrooms,5 bathrooms,anually,,,Unfurnished,5,Yes,,,,,,,,,,,,,,
"₦ 2,000,000","Lagos, Ibeju, Abijo",Duplex,5 bedrooms,5 bathrooms,per annum,abijo GRA,off the express,Semi-Furnished,,,350 sqm,Newly Built,Pets Allowed,"Tiled Floor,Wardrobe,Balcony,Dining Area",10,10,100000,,,,,,,
"₦ 7,500,000","Lagos, Lekki",Duplex,5 bedrooms,5 bathrooms,per quarter,Ikota,,Semi-Furnished,,,,Newly Built,,,,,,,,,,,,
"₦ 7,500,000","Lagos, Lekki, Ikota",Duplex,5 bedrooms,5 bathrooms,per annum,IKota,Serene and secured estate,Semi-Furnished,,,,Newly Built,Pets Allowed,"Kitchen Cabinets,Kitchen Shelf,Tiled Floor,Microwave,Pop Ceiling,Chandelier,Pre Paid Meter,Wardrobe,24 Hours Electricity,Hot Water,Refrigerator,Dining Area,Dishwasher,Balcony",750000,750000,,Yes,,,,,,
"₦ 5,000,000","Lagos, Lekki, Ikota",Duplex,5 bedrooms,5 bathrooms,per annum,Secuted estate Ikota,,Semi-Furnished,,,,Newly Built,,"Chandelier,Apartment,Wardrobe,Microwave,24 Hours Electricity,Pre Paid Meter,Refrigerator,Kitchen Cabinets,Balcony,Air Conditioning,Tiled Floor,Dining Area,Pop Ceiling",,,,Yes,,,,,,
"₦ 20,000,000","Abuja, Maitama",Duplex,5 bedrooms,5 bathrooms,per annum,Maitama,,Unfurnished,,,,Newly Built,,"Pre Paid Meter,Kitchen Cabinets,Pop Ceiling,Wardrobe,Apartment,Hot Water,Balcony,Kitchen Shelf,Tiled Floor,Chandelier,Dining Area,Dishwasher",,,,,,,,,,
"₦ 14,000,000","Abuja, Maitama",Duplex,5 bedrooms,5 bathrooms,per annum,Maitama,,Unfurnished,,,,Newly Built,,"Kitchen Shelf,Pre Paid Meter,Pop Ceiling,Hot Water,Tiled Floor,Balcony,Wardrobe,Chandelier,Apartment,Kitchen Cabinets,Dining Area",,,,,,,,,,
"₦ 15,000,000","Abuja, Maitama",Duplex,5 bedrooms,5 bathrooms,per annum,Maitama,,Unfurnished,,,,Newly Built,,"Kitchen Shelf,Apartment,Chandelier,Pre Paid Meter,Pop Ceiling,Tiled Floor,Balcony,Dining Area,Wardrobe,Hot Water,Kitchen Cabinets",,,,,,,,,,
"₦ 1,500,000",none,Duplex,5 bedrooms,4 bathrooms,per annum,North4th Damija,Damija,Semi-Furnished,,,1000 sqm,Fairly Used,Pets Allowed,"Kitchen Cabinets,Dining Area,24 Hours Electricity,Pre Paid Meter,Apartment,Balcony",,,,,,,,,,
"₦ 2,500,000","Enugu, Enugu / Enugu State",Duplex,5 bedrooms,5 bathrooms,per annum,golf estate gra,golf estate gra,Furnished,,,1000 sqm,Newly Built,,"Apartment,Dining Area,24 Hours Electricity,Tiled Floor,Hot Water,Kitchen Shelf,Kitchen Cabinets,Pop Ceiling,Wardrobe,Balcony,Pre Paid Meter,Chandelier",250000,250000,275000,Yes,,,,,,
"₦ 1,600,000",none,Duplex,5 bedrooms,4 bathrooms,per annum,Centinary City,"Centinary City, Enugu",Unfurnished,,,,Newly Built,Pets Allowed,"Pre Paid Meter,Pop Ceiling,Kitchen Cabinets,24 Hours Electricity,Hot Water,Wardrobe,Tiled Floor,Kitchen Shelf,Balcony,Dining Area",150000,100000,200000,Yes,,,,,,
"₦ 12,000,000","Lagos, Lekki, Lekki Phase 1",Duplex,5 bedrooms,5 bathrooms,per annum,Off Admiralty Road Lekki Phase 1,,Semi-Furnished,,,,Newly Built,,"24 Hours Electricity,Balcony,Chandelier,Dining Area,Hot Water,Kitchen Cabinets,Kitchen Shelf,Pre Paid Meter",,,,,,,,,,
"₦ 15,000,000","Lagos, Lekki, Osapa london",Duplex,5 bedrooms,5 bathrooms,per annum,Osapa,,Furnished,,,,Newly Built,,,,,,,,,,,,
"₦ 1,500,000","Rivers, Obio-Akpor",Duplex,5 bedrooms,5 bathrooms,per annum,This property is located within tank junction Rumukwurushi,,Semi-Furnished,,,,Renovated,Pets Allowed,"Dining Area,Kitchen Cabinets,Pop Ceiling,Hot Water,Tiled Floor,Wardrobe",,,,,,,,,,
"₦ 2,500,000","Enugu, Enugu / Enugu State",Duplex,5 bedrooms,5 bathrooms,per annum,wtc estate,wtc estate,Furnished,,,600 sqm,Fairly Used,,"Wardrobe,Chandelier,Kitchen Cabinets,24 Hours Electricity,Pop Ceiling,Tiled Floor,Hot Water,Pre Paid Meter",250000,250000,100000,Yes,,,,,,
"₦ 500,000","Rivers, Obio-Akpor",Block of Flats,5 bedrooms,5 bathrooms,per quarter,This property is at Eneka Road off Rumuodara,,Semi-Furnished,,,,Fairly Used,,"Dining Area,Pop Ceiling,24 Hours Electricity,Kitchen Cabinets,Hot Water,Tiled Floor,Wardrobe,Balcony",,,,,,,,,,
"₦ 2,500,000","Enugu, Enugu / Enugu State",Duplex,5 bedrooms,5 bathrooms,per annum,golf estate gra,golf estate gra,Furnished,,,600 sqm,Fairly Used,,"Hot Water,Tiled Floor,Wardrobe,Apartment,24 Hours Electricity,Balcony,Dining Area,Pop Ceiling,Kitchen Shelf,Chandelier,Pre Paid Meter,Kitchen Cabinets",250000,250000,200000,Yes,,,,,,
"₦ 2,500,000","Enugu, Enugu / Enugu State",Duplex,5 bedrooms,5 bathrooms,per annum,GRA Enugu close to ShopRite,old gra Enugu by ShopRite,Furnished,,,600 sqm,Fairly Used,,"Apartment,Dining Area,Balcony,Pre Paid Meter,Hot Water,Kitchen Shelf,Kitchen Cabinets,Tiled Floor,Wardrobe,Pop Ceiling,24 Hours Electricity",400000,400000,100000,Yes,,,,,,
