price,location,house_type,rooms,bathrooms,rent_duration,estate name,condition,furnishing,facilities,area,dishwasher,prepaid_meter,dinning_area,air_conditioning,chandelier,state,estate
450000,"enugu, enugu / enugu state",Apartment,1,2,per annum,good is good,Newly Built,Furnished,"balcony,chandelier,24 hours electricity,dishwasher,pop ceiling,tiled floor,wardrobe,dining area,pre paid meter,hot water,kitchen cabinets",semi_urban,yes,yes,yes,no,yes,enugu,no
300000,"anambra, awka",Apartment,1,2,per annum,ifite awka,Newly Built,Unfurnished,"24 hours electricity,dining area,balcony,kitchen cabinets",rural,no,no,yes,no,no,anambra,no
200000,"ogun, ifo",Studio Apartment,1,1,per annum,ifedayo,Fairly Used,Unfurnished,"pre paid meter,tiled floor,dishwasher,kitchen shelf,24 hours electricity",rural,yes,yes,no,no,no,ogun,no
1000000,"lagos, ajah",Duplex,1,2,per quarter,"lekki scheme 2,abraham adesanya ajah",Newly Built,Semi-Furnished,"balcony,chandelier,dining area,wardrobe,wi-fi,pop ceiling,hot water,kitchen shelf,pre paid meter,dishwasher,24 hours electricity,kitchen cabinets,tiled floor",semi_urban,yes,yes,yes,no,yes,lagos,no
300000,marian,Apartment,1,2,per quarter,smart property,Fairly Used,Unfurnished,"balcony,24 hours electricity,kitchen shelf,dining area,kitchen cabinets",rural,no,no,yes,no,no,lagos,no
180000,arthur eze avenue awka.,Apartment,1,1,per quarter,unknown,Fairly Used,Unfurnished,none,rural,no,no,no,no,no,anambra,no
250000,"ogun, obafemi-owode",Mini Flat,1,1,per annum,harmony estate,Newly Built,Furnished,"apartment,dishwasher,tiled floor,wardrobe,kitchen cabinets,balcony",rural,yes,no,no,no,no,ogun,yes
600000,"alakahia, obio / akpor lga. rivers state",Block of Flats,1,2,per annum,unknown,Fairly Used,Unfurnished,none,rural,no,no,no,no,no,rivers,no
190000,ifite awka,Apartment,1,1,per annum,awka anambra state,Newly Built,Semi-Furnished,"tiled floor,kitchen cabinets,balcony,24 hours electricity,pre paid meter,wardrobe",rural,no,yes,no,no,no,anambra,no
350000,"nza street , gra enugu",Apartment,1,1,per annum,unknown,Fairly Used,Unfurnished,"tiled floor,dishwasher,kitchen shelf,pre paid meter",semi_urban,yes,yes,no,no,no,enugu,no
600000,"lagos, isolo, ago palace",Apartment,1,2,per quarter,unknown,Newly Built,Unfurnished,none,semi_urban,no,no,no,no,no,lagos,no
723250,"kaduna, kaduna / kaduna state",Block of Flats,1,1,per annum,phase 1,Newly Built,Furnished,"chandelier,pop ceiling,24 hours electricity,tiled floor,air conditioning,dishwasher,dining area,balcony,kitchen cabinets,pre paid meter,wardrobe,kitchen shelf,hot water",rural,yes,yes,yes,yes,yes,kaduna,no
300000,"rivers, obio-akpor",Block of Flats,1,1,per annum,centenary gardens estate eneka,Newly Built,Furnished,none,rural,no,no,no,no,no,rivers,yes
600000,"lagos, ajah",Apartment,1,2,per annum,unity estate,Newly Built,Semi-Furnished,"dishwasher,pop ceiling,dining area,wardrobe,tiled floor,wi-fi,balcony,pre paid meter,kitchen cabinets,kitchen shelf",semi_urban,yes,yes,yes,no,no,lagos,yes
220000,"osun, osogbo",Bungalow,1,2,per quarter,fountain road oshogbo,Newly Built,Furnished,"dining area,hot water,chandelier,kitchen cabinets,kitchen shelf,balcony,dishwasher,pop ceiling,24 hours electricity,air conditioning",rural,yes,no,yes,yes,yes,osun,no
115000,"oyo, ido",Mini Flat,1,1,per annum,dtb,Newly Built,Semi-Furnished,"dishwasher,pre paid meter,kitchen shelf,tiled floor,kitchen cabinets",rural,yes,yes,no,no,no,oyo,no
150000,ifite awka,Apartment,1,1,per quarter,unknown,Newly Built,Unfurnished,none,rural,no,no,no,no,no,anambra,no
170000,atimbo,Bungalow,1,1,per quarter,smart property,Fairly Used,Unfurnished,"24 hours electricity,kitchen cabinets,balcony,kitchen shelf",rural,no,no,no,no,no,none,no
300000,satellite town,Bungalow,1,2,per quarter,smart property,Fairly Used,Unfurnished,"dining area,24 hours electricity,kitchen cabinets,balcony,kitchen shelf",rural,no,no,yes,no,no,lagos,no
350000,"enugu, enugu / enugu state",Block of Flats,1,2,per quarter,unknown,Fairly Used,Semi-Furnished,"dining area,pop ceiling,pre paid meter,wardrobe,tiled floor,balcony,kitchen shelf,kitchen cabinets,24 hours electricity",semi_urban,no,yes,yes,no,no,enugu,no
