price,location,house_type,rooms,bathrooms,rent_duration,CONDITION,FURNISHING,PETS,FACILITIES,AGENCY FEE,LEGAL AND AGREEMENT FEE,CAUTION FEE,PROPERTY ADDRESS,PROPERTY SIZE,HOUSING QUALITY,TOTAL ROOMS,PARKING SPACE,ESTATE NAME,NEW PROPERTY,SMOKING,PARTIES,BROKER FEE,FURNISHED,SERVICE CHARGE
"₦ 300,000","Imo, Owerri",Block of Flats,2 bedrooms,3 bathrooms,anually,Newly Built,Semi-Furnished,Pets Allowed,"Kitchen Cabinets,Tiled Floor,Kitchen Shelf,Wardrobe,Dining Area,Balcony,Dishwasher",30000,30000,30000,,,,,,,,,,,,
"₦ 300,000","Imo, Owerri",Apartment,2 bedrooms,2 bathrooms,anually,Newly Built,Unfurnished,No Pets,Balcony,,,,Located in Owerri,800 sqm,,,,,,,,,,
"₦ 276,000","Imo, Owerri",Apartment,2 bedrooms,2 bathrooms,anually,Newly Built,Unfurnished,No Pets,24 Hours Electricity,50000,50000,,Located in Owerri,1000 sqm,Standard,3,Yes,,,,,,,
"₦ 360,000","Imo, Owerri",Block of Flats,2 bedrooms,3 bathrooms,anually,Newly Built,Semi-Furnished,Pets Allowed,"Dishwasher,Dining Area,24 Hours Electricity,Kitchen Shelf,Kitchen Cabinets,Balcony",50000,40000,40000,,,,,,,,,,,,
"₦ 300,000","Imo, Owerri",Bungalow,2 bedrooms,2 bathrooms,anually,Newly Built,Semi-Furnished,No Pets,,,,,Located at Egbeada Housing Estate,800 sqm,Standard,3,Yes,,,,,,,
"₦ 360,000","Imo, Owerri",Apartment,2 bedrooms,2 bathrooms,anually,Newly Built,Unfurnished,No Pets,,50000,30000,,Located in Owerri,700 sqm,Standard,3,Yes,,,,,,,
"₦ 300,000","Imo, Owerri",Block of Flats,2 bedrooms,2 bathrooms,anually,Newly Built,Semi-Furnished,No Pets,,,,,"Located Within Spilbat Axis, Owerri",600 sqm,Standard,3,Yes,,,,,,,
"₦ 300,000","Imo, Owerri",Block of Flats,4 bedrooms,3 bathrooms,anually,Newly Built,Semi-Furnished,No Pets,,60000,50000,50000,Located in New Owerri,800 sqm,Standard,4,Yes,,,,,,,
"₦ 360,000","Imo, Owerri",Apartment,2 bedrooms,2 bathrooms,anually,Newly Built,Semi-Furnished,No Pets,,50000,50000,50000,Located in Owerri,700 sqm,Standard,3,Yes,,,,,,,
"₦ 300,000","Imo, Owerri",Apartment,2 bedrooms,2 bathrooms,anually,Newly Built,Unfurnished,No Pets,"Balcony,Dining Area,Tiled Floor",30000,30000,20000,Located at FUTO Main,600 sqm,,,,,,,,,,
"₦ 2,500,000","Imo, Owerri",Duplex,4 bedrooms,5 bathrooms,per annum,Newly Built,Unfurnished,,"Dining Area,Wardrobe,Pop Ceiling,Kitchen Cabinets,Air Conditioning,Pre Paid Meter,TV,24 Hours Electricity,Balcony,Chandelier,Tiled Floor,Hot Water",,,,Behind Concord Hotel New Owerri,500 sqm,,,,Jeuidco Homes,,,,,,
"₦ 850,000","Imo, Owerri",Block of Flats,4 bedrooms,4 bathrooms,per annum,Newly Built,Furnished,No Pets,"Wardrobe,Pre Paid Meter,Hot Water,24 Hours Electricity,Kitchen Cabinets,Balcony,Dining Area,Tiled Floor,Pop Ceiling",,,,Federal Housing Owerri,500 sqm,,,,Jeuidco Homes,,,,,,
"₦ 2,500,000","Imo, Owerri",Duplex,4 bedrooms,5 bathrooms,per annum,Newly Built,Unfurnished,,"Balcony,Pre Paid Meter,Dining Area,Wardrobe,Pop Ceiling,Tiled Floor,Kitchen Cabinets,TV,Hot Water,24 Hours Electricity",,,,Concord axis,1000 sqm,,,,Jeuidco Homes,,,,,,
"₦ 1,500,000","Imo, Owerri",Duplex,4 bedrooms,5 bathrooms,anually,,Furnished,Pets Allowed,,,,,,1500 sqm,,5,Yes,,Yes,Allowed,Allowed,No,,
"₦ 2,000,000","Imo, Owerri",Duplex,4 bedrooms,5 bathrooms,anually,,Furnished,Pets Allowed,,,,,,1500 sqm,,5,Yes,,Yes,Allowed,Allowed,No,,
"₦ 1,000,000","Imo, Owerri",Duplex,4 bedrooms,4 bathrooms,anually,Fairly Used,Furnished,No Pets,,,,,Located at New Owerri,1500 sqm,Standard,6,Yes,,,Allowed,Allowed,No,,
